
hidden_encode = [4, 4, 8, 8, 16, 16, 32, 32, 64, 64]
        pools_encode = [1, 2, 1, 2, 1, 2, 1, 2, 1, 2]
        hidden_dense = [128, 128]
        n_latent = 128

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_10_2_128
 - input shape: (?, 512, 512, 3)
 - encode: (?, 512, 512, 4)
 - encode: (?, 256, 256, 4)
 - encode: (?, 256, 256, 8)
 - encode: (?, 128, 128, 8)
 - encode: (?, 128, 128, 16)
 - encode: (?, 64, 64, 16)
 - encode: (?, 64, 64, 32)
 - encode: (?, 32, 32, 32)
 - encode: (?, 32, 32, 64)
 - encode: (?, 16, 16, 64)
 - flat: (?, 16384)
 - latent: (?, 128)
 - dense: (?, 128)
 - dense: (?, 128)
 - dense: (?, 256)
 - reshaped: (?, 16, 16, 1)
 - decode: (?, 32, 32, 64)
 - decode: (?, 32, 32, 64)
 - decode: (?, 64, 64, 32)
 - decode: (?, 64, 64, 32)
 - decode: (?, 128, 128, 16)
 - decode: (?, 128, 128, 16)
 - decode: (?, 256, 256, 8)
 - decode: (?, 256, 256, 8)
 - decode: (?, 512, 512, 4)
 - decode: (?, 512, 512, 4)
 - decode: (?, 512, 512, 3)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_10_2_128 network in 3.867661714553833

Training on data with iters
Iter 0  Loss 45622.78125  IO 45622.67969  KL 0.10419
Iter 200  Loss 27789.08594  IO 27713.16406  KL 74.01600
Iter 400  Loss 25416.70312  IO 25321.59570  KL 88.55412
Iter 600  Loss 22553.71875  IO 22461.51562  KL 91.32876
Iter 800  Loss 20725.37891  IO 20641.82422  KL 85.32791
Iter 1000  Loss 21278.63086  IO 21190.98047  KL 86.32416
Iter 1200  Loss 21206.41797  IO 21127.57617  KL 79.67467
Iter 1400  Loss 19777.83008  IO 19700.89453  KL 76.09280
Iter 1600  Loss 19691.02930  IO 19629.40234  KL 72.42149
Iter 1800  Loss 20190.04492  IO 20117.46484  KL 69.87849
Iter 2000  Loss 19050.44727  IO 18978.85156  KL 73.06021
Iter 2200  Loss 19886.34961  IO 19819.42188  KL 67.52408
Iter 2400  Loss 19106.38281  IO 19032.10156  KL 69.60497
Iter 2600  Loss 18560.80078  IO 18493.80078  KL 68.79474
Iter 2800  Loss 19599.95898  IO 19533.92773  KL 67.91243
Iter 3000  Loss 19632.95312  IO 19567.84961  KL 65.03285
Iter 3200  Loss 18084.17383  IO 18023.54492  KL 62.92768
Iter 3400  Loss 18987.55469  IO 18925.79297  KL 61.40995
Iter 3600  Loss 18861.62695  IO 18795.80469  KL 63.55760
Iter 3800  Loss 18332.60547  IO 18258.86914  KL 63.60897
Iter 4000  Loss 18106.73047  IO 18039.24219  KL 62.78928
Iter 4200  Loss 17509.81445  IO 17444.83984  KL 63.64145
Iter 4400  Loss 18096.65820  IO 18039.76172  KL 63.03206
Iter 4600  Loss 18596.96094  IO 18538.91016  KL 61.62585
Iter 4800  Loss 18061.39062  IO 17997.75195  KL 61.41707
Iter 5000  Loss 18356.32031  IO 18281.61133  KL 61.77393
Iter 5200  Loss 17958.69531  IO 17902.44336  KL 58.50764
Iter 5400  Loss 18376.98047  IO 18319.27344  KL 58.43081
Iter 5600  Loss 18234.18750  IO 18183.62695  KL 58.55234
Iter 5800  Loss 17649.35547  IO 17588.44141  KL 57.80063
Iter 6000  Loss 17837.11914  IO 17775.52539  KL 58.83729
Iter 6200  Loss 17667.15234  IO 17605.05273  KL 58.21074
Iter 6400  Loss 17690.08789  IO 17619.07227  KL 60.68688
Iter 6600  Loss 16755.56445  IO 16694.51367  KL 58.49416
Iter 6800  Loss 17382.11719  IO 17319.06250  KL 58.86632
Iter 7000  Loss 17932.72656  IO 17880.51953  KL 58.29884
Iter 7200  Loss 16819.29102  IO 16741.10156  KL 60.29640
Iter 7400  Loss 17497.09375  IO 17439.13477  KL 60.97269
Iter 7600  Loss 17699.04297  IO 17639.75781  KL 58.82462
Iter 7800  Loss 17990.28516  IO 17934.77344  KL 59.61588
Iter 8000  Loss 17306.52734  IO 17251.78516  KL 56.40831
Iter 8200  Loss 17478.06055  IO 17426.00000  KL 56.76858
Iter 8400  Loss 17994.20508  IO 17941.65625  KL 56.25362
Iter 8600  Loss 16888.59766  IO 16827.41406  KL 56.37038
Iter 8800  Loss 16969.06250  IO 16911.03125  KL 55.73676
Iter 9000  Loss 17693.45117  IO 17640.32422  KL 55.58038
Iter 9200  Loss 17350.24609  IO 17296.66406  KL 54.07652
Iter 9400  Loss 16974.60547  IO 16921.85742  KL 53.86719
Iter 9600  Loss 16899.33008  IO 16853.53125  KL 53.13581
Iter 9800  Loss 17993.57617  IO 17943.98047  KL 52.66830
Iter 10000  Loss 16570.96875  IO 16521.69922  KL 53.07822
Iter 10200  Loss 16650.76172  IO 16601.01953  KL 51.43836
Iter 10400  Loss 17921.09766  IO 17879.84961  KL 52.03933
Iter 10600  Loss 16580.80078  IO 16536.79688  KL 50.58569
Iter 10800  Loss 17679.06836  IO 17639.35938  KL 50.86098
Iter 11000  Loss 17164.83984  IO 17117.43945  KL 48.03934
Iter 11200  Loss 17105.81641  IO 17058.35547  KL 49.49474
Iter 11400  Loss 16994.15039  IO 16942.33398  KL 49.01228
Iter 11600  Loss 17467.69141  IO 17432.62500  KL 48.95858
Iter 11800  Loss 16814.55664  IO 16773.11523  KL 48.41482
Iter 12000  Loss 16376.26172  IO 16330.35352  KL 51.46249
Iter 12200  Loss 17185.25781  IO 17125.84375  KL 55.64017
Iter 12400  Loss 16261.38086  IO 16206.33594  KL 58.09222
Iter 12600  Loss 16790.43750  IO 16724.36328  KL 58.57807
Iter 12800  Loss 17598.10938  IO 17542.54492  KL 59.53303
Iter 13000  Loss 16614.94531  IO 16546.55859  KL 61.78207
Iter 13200  Loss 17039.03516  IO 16970.27734  KL 62.25997
Iter 13400  Loss 16186.67676  IO 16128.42773  KL 57.82199
Iter 13600  Loss 16507.20117  IO 16451.84375  KL 58.87763
Iter 13800  Loss 16721.20703  IO 16666.67969  KL 59.71775
Iter 14000  Loss 17198.60156  IO 17140.83203  KL 56.04154
Iter 14200  Loss 16324.88281  IO 16255.39746  KL 57.42813
Iter 14400  Loss 16542.73438  IO 16482.56641  KL 56.67102
Iter 14600  Loss 17057.21484  IO 17001.00781  KL 56.31250
Iter 14800  Loss 16802.52930  IO 16761.60938  KL 54.47043


