Train time: 12+ hours

hidden_encode = [4, 8, 16, 32, 64, 64]
        pools_encode = [2, 2, 2, 2, 2, 2]
        pools_decode = [1,1,1,1,1,1]
        hidden_dense = [64, 64]
        n_latent = 64

Creating autoencoder network...
 - C:\Users\Nick\Desktop\Ava\Programs\GameAI\Emulator\data\pacman\network\AUTO_pacman_512_512_3_6_2_64
 - input shape: (?, 512, 512, 3)
 - encode: (?, 256, 256, 4)
 - encode: (?, 128, 128, 8)
 - encode: (?, 64, 64, 16)
 - encode: (?, 32, 32, 32)
 - encode: (?, 16, 16, 64)
 - encode: (?, 8, 8, 64)
 - flat: (?, 4096)
 - latent: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - dense: (?, 64)
 - reshaped: (?, 8, 8, 1)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 64)
 - decode: (?, 8, 8, 32)
 - decode: (?, 8, 8, 16)
 - decode: (?, 8, 8, 8)
 - decode: (?, 8, 8, 4)
 - dense: (?, 786432)
 - output: (?, 786432)
Created AUTO_pacman_512_512_3_6_2_64 network in 15.829691886901855

Training on data with iters
Iter 0  Loss 182239.85938  IO 182239.85938  KL 0.00458
Iter 100  Loss 10997.91406  IO 10971.36914  KL 19.58723
Iter 200  Loss 11052.00488  IO 11060.93359  KL 4.60307
Iter 300  Loss 9949.22754  IO 9924.72266  KL 18.65227
Iter 400  Loss 8427.47363  IO 8368.39160  KL 62.04695
Iter 500  Loss 8279.98145  IO 8143.01172  KL 61.71225
Iter 600  Loss 7135.03027  IO 7065.53516  KL 94.78943
Iter 700  Loss 6986.79346  IO 6899.21777  KL 93.75159
Iter 800  Loss 7056.42578  IO 6973.78418  KL 90.37753
Iter 900  Loss 6364.12012  IO 6281.88916  KL 84.12643
Iter 1000  Loss 6173.03906  IO 6121.71240  KL 75.39566
Iter 1100  Loss 8381.43164  IO 8228.63086  KL 65.93179
Iter 1200  Loss 6634.18311  IO 6539.56348  KL 80.46771
Iter 1300  Loss 6245.34082  IO 6199.56445  KL 75.63214
Iter 1400  Loss 6635.66064  IO 6562.76367  KL 72.75322
Iter 1500  Loss 6179.72363  IO 6080.60840  KL 68.12648
Iter 1600  Loss 5904.21826  IO 5843.14062  KL 65.86060
Iter 1700  Loss 5814.59766  IO 5731.26367  KL 71.54808
Iter 1800  Loss 5295.52832  IO 5218.38184  KL 71.37196
Iter 1900  Loss 5474.61328  IO 5444.92285  KL 69.11879
Iter 2000  Loss 5236.70166  IO 5163.65576  KL 67.60300
Iter 2100  Loss 5200.12988  IO 5138.15625  KL 66.99111
Iter 2200  Loss 5295.49365  IO 5212.39209  KL 70.71407
Iter 2300  Loss 5179.41357  IO 5101.03760  KL 66.16776
Iter 2400  Loss 4960.91113  IO 4892.32373  KL 64.78058
Iter 2500  Loss 4895.47900  IO 4825.21143  KL 69.16405
Iter 2600  Loss 4685.89258  IO 4620.65918  KL 65.79179
Iter 2700  Loss 4890.80762  IO 4839.47266  KL 62.56628
Iter 2800  Loss 4926.59424  IO 4863.48926  KL 60.35650
Iter 2900  Loss 4999.84619  IO 4946.28809  KL 63.69769
