manaS,mana,1262,1000,64,32,16,32,2,16
manaO,mana,1229,67,64,32,16,32,2,16
heroS,hero,965,820,192,192,64,64,8,8
heroO,hero,965,195,192,192,64,64,8,8
heroPowerS,heroPower,1135,823,160,160,64,64,4,16
heroPowerO,heroPower,1135,235,160,160,64,64,4,16
weaponS,weapon,765,830,160,160,64,64,4,16
weaponO,weapon,785,238,160,160,64,64,4,16
boardS,board,960,595,980,160,64,256,32,2
boardO,board,960,410,980,160,64,256,32,2
handS,handS,924,1000,680,160,64,256,32,4
handO,handO,914,48,366,76,32,128,16,4
deckS,deck,1807,430,220,840,256,64,32,64
deckO,deck,120,520,220,770,256,64,32,32
